Hospital Name,Minimum Stock,Back up,Extra
"ATOMY CO., LTD.",1978,314,607
Stratus Pharmaceuticals,2042,129,697
"The Pepsom Group, Inc.",1531,51,664
"Best Sanitizers, Inc",1748,15,986
"Bayer HealthCare LLC, Consumer Care",2221,140,789
Uriel Pharmacy Inc.,1088,179,978
MEGASOL COSMETIC GMBH,1237,353,924
King Bio Inc.,2771,89,511
Eli Lilly and Company,2399,482,546
"Arbonne International, LLC",1350,306,684
"International Medication Systems, Limited",2104,298,691
Kroger Company,2585,428,559
"Watson Pharma, Inc.",1947,144,814
"AvKARE, Inc.",1105,39,882
"Avon Products, Inc.",1764,294,811
Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,2537,3,766
Darby Dental Supply Co,2585,23,767
"Physicians Total Care, Inc.",2393,222,806
SHISEIDO AMERICA INC.,1326,82,519
"Nelco Laboratories, Inc.",2545,48,602
Perrigo New York Inc,2081,238,532
St Marys Medical Park Pharmacy,2679,129,626
Qualitest Pharmaceuticals,2246,258,503
Gadal Laboratories Inc,2571,361,769
"Caraco Pharmaceutical Laboratories, Ltd.",1325,389,505
Dixie Packing & Seal Company,1101,479,691
"New Horizon Rx Group, LLC",2875,412,897
Greenstone LLC,2529,296,541
Costco Wholesale Company,2173,302,947
"Native Remedies, LLC",1045,311,514
"Aloe Care International, LLC",2382,500,962
OCuSOFT Inc.,2101,354,795
"Nelco Laboratories, Inc.",1086,56,574
Best Accessory Group,2393,438,678
"Aero Healthcare, LLC.",1573,351,724
Cantrell Drug Company,2389,73,895
Aidarex Pharmaceuticals LLC,2464,499,950
"Preferred Pharmaceuticals, Inc.",1159,479,961
Hikma Pharmaceutical,1603,37,654
Cardinal Health,1990,260,947
"Jiangsu Province JianErKang Medical Dressing Co. ,Ltd.",1676,282,954
"Lupin Pharmaceuticals, Inc.",1887,457,607
"Carlsbad Technology, Inc.",2744,277,892
IASO Inc,2093,477,685
Aidarex Pharmaceuticals LLC,1670,204,813
McKesson Packaging Services Business Unit of McKesson Corporation,1023,488,839
Bryant Ranch Prepack,1461,77,511
"Napoleon Perdis Cosmetics, Inc",2977,177,505
Meijer Distribution Inc,1099,270,746
Dispensing Solutions Inc.,1317,58,580
Northstar RxLLC,2393,18,912
ESTEE LAUDER INC,1542,158,800
SAFEWAY INC.,2181,117,726
"Hospira, Inc.",1818,180,531
Uriel Pharmacy Inc.,1658,278,560
State of Florida DOH Central Pharmacy,1833,211,654
Perrigo New York Inc,1917,387,778
Laboratoires Clarins S.A.,1418,425,683
"Airgas Northern California and Nevada, Inc.",1473,186,770
West-ward Pharmaceutical Corp.,1844,451,697
Sandoz Inc.,1131,450,800
Best Choice (Valu Merchandisers Company),2323,274,533
Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,1166,436,583
"SJ Creations, Inc.",1200,10,902
"Church & Dwight Co., Inc.",1695,272,655
Mylan Institutional Inc.,2412,101,795
Jubilant HollisterStier LLC,2466,17,924
Barr Laboratories Inc.,2215,177,715
"APP Pharmaceuticals, LLC",1070,69,829
Dr. Reddy's Laboratories Limited,1778,418,546
Rebel Distributors Corp,1436,79,725
"Whisk Products, Inc.",2958,169,681
Hyland's,1181,263,843
"TONYMOLY CO., LTD.",2364,320,934
"PD-Rx Pharmaceuticals, Inc.",2836,12,622
"PD-Rx Pharmaceuticals, Inc.",1857,138,740
GlaxoSmithKline LLC,1138,361,600
Phoenix/Clipper,2612,104,749
Contract Pharmacy Services-PA,1996,349,867
"Boca Pharmacal, LLC",1779,237,866
State of Florida DOH Central Pharmacy,1723,206,795
BluePoint Laboratories,2849,367,724
"UDL Laboratories, Inc.",2964,434,771
"Newton Laboratories, Inc.",1014,361,900
A-S Medication Solutions LLC,2698,480,946
West-Ward Pharmaceutical Corp,2987,11,763
"Time-Cap Labs, Inc",2806,147,722
Baxter Healthcare Corporation,2508,109,786
"Lab Safety Supply, Inc.",2787,317,697
"Robell Research, Inc.",2734,104,700
Tri-Coastal Design Company Inc.,2412,345,996
Meijer,2822,92,532
"Novel Laboratories, Inc.",2462,163,997
Hikma Pharmaceutical,2979,343,945
"CodaDose, Inc.",1338,486,940
West-ward Pharmaceutical Corp,1706,292,692
"Jets, Sets, & Elephants Beauty Corp.",2074,424,953
"NCS HealthCare of KY, Inc dba Vangard Labs",2475,445,791
Rebel Distributors Corp,2401,348,838
McKesson Contract Packaging,1170,338,997
"ALK-Abello, Inc.",1212,213,611
NeoStrata Company Inc.,1964,247,976
McKesson Packaging Services a business unit of McKesson Corporation,2640,497,675
AMOREPACIFIC,1304,377,576
Infirst Healthcare,2575,53,538
"Aplicare, Inc.",2438,55,855
GlaxoSmithKline Consumer Healthcare LP,1407,28,842
E. Fougera & Co. a division of Fougera Pharmaceuticals Inc.,1808,123,559
Remedy Makers,1799,227,526
"The Hain Celestial Group, Inc.",1340,383,824
"Lil' Drug Store Products, Inc",1151,488,865
Procter & Gamble Manufacturing Company,1752,61,531
Colgate-Palmolive,1089,461,805
DZA Brands LLC,1359,5,676
KIK Custom Products,2847,421,915
Major Pharmaceuticals,2419,95,635
"NCS HealthCare of KY, Inc dba Vangard Labs",1515,174,579
GlaxoSmithKline Biologicals SA,2244,198,652
Mylan Institutional LLC,1707,346,669
"SYOXSA, Inc.",2447,9,820
"Aton Pharma, Inc",2843,441,973
"Mycone Dental Supply Co., Inc DBA Keystone Industries and Deepak Products Inc.",2869,258,673
Kmart Corporation,2731,401,906
Uriel Pharmacy Inc.,2792,366,846
"Energique, Inc.",2974,373,586
"ALK-Abello, Inc.",2931,420,525
Gilmore Liquid Air Company,1744,199,991
"Life Line Home Care Services, Inc.",1316,295,731
NorthStar Rx LLC,2992,170,827
"Nelco Laboratories, Inc.",1418,295,722
"Antigen Laboratories, Inc.",2786,329,759
"Theochem Laboratories, Inc",1606,450,930
Valeant Pharmaceuticals North America LLC,2332,488,556
EQUALINE (SuperValu),2291,211,535
American Sales Company,1447,364,529
Sun Pharmaceutical Industries Limited,1057,90,529
"Auto-Chlor System, LLC",2242,297,775
Dolgencorp Inc,1218,93,652
Ventura International LTD,2535,248,639
"ALK-Abello, Inc.",1773,7,683
King Bio Inc,1600,96,976
REMEDYREPACK INC.,2181,124,858
ENCHANTE ACCESSORIES INC.,1927,265,754
"SAVE-A-LOT FOOD STORES, LTD.",1016,323,762
"NCS HealthCare of KY, Inc dba Vangard Labs",2499,175,895
Dynarex Corporation,2191,91,852
McKesson,2513,234,992
CVS Pharmacy,1777,185,761
"International Labs, Inc.",2894,344,974
Baxter Healthcare Corporation,2196,200,806
"PD-Rx Pharmaceuticals, Inc.",1856,336,621
Clinical Solutions Wholesale,2765,265,727
Lake Erie Medical DBA Quality Care Products LLC,2179,66,953
Mondel?z Global LLC,1524,140,580
"Nelco Laboratories, Inc.",1526,400,718
"Speer Laboratories, LLC",1881,179,505
Teva Pharmaceuticals USA Inc,2282,138,733
Cintas First Aid & Safety,1015,390,873
"MedVantx, Inc.",2580,315,921
Jeun Cell Ltd,1040,182,997
Publix Super Markets Inc,2333,20,808
BJWC,1690,161,784
"Physicians Total Care, Inc.",2731,460,980
"Golden State Medical Supply, Inc.",2177,493,778
"Nelco Laboratories, Inc.",1280,6,933
China Ningbo Shangge Cosmetic Technology Corp,2520,63,910
Crown Laboratories,2056,14,550
American Health Packaging,2323,471,652
"Paddock Laboratories, Inc.",2066,445,626
West-Ward Pharmaceutical Corp,2504,297,928
Vansen Pharma Inc.,2052,16,923
Kao Brands Company,1596,438,642
"PSS World Medical, Inc.",1659,457,580
Good Neighbor Pharmacy,1662,415,657
Actavis Elizabeth LLC,1444,187,510
"PD-Rx Pharmaceuticals, Inc.",2197,67,537
"NATURE REPUBLIC CO., LTD.",1808,263,746
Aidarex Pharmaceuticals LLC,1292,299,509
"Physicians Total Care, Inc.",2325,121,879
Uriel Pharmacy Inc.,2038,491,758
American Sales Company,2200,148,694
"Physicians Total Care, Inc.",2965,154,828
Par Pharmaceutical Inc,2367,444,857
"MSD Consumer Care, Inc.",1597,134,673
CVS Pharmacy,1367,82,802
AB7 Industries,1738,210,633
Pharmacia and Upjohn Company,1925,376,903
"Preferred Pharmaceuticals, Inc.",1445,491,603
Mallinckrodt Inc.,1841,203,541
THE KROGER CO,1404,156,555
Neutrogena Corporation,2060,377,597
Sesvalia USA LLC,2348,106,587
"Avon Products, Inc",1288,444,847
G.D. Searle LLC Division of Pfizer Inc,1450,401,670
June Jacobs Laboratories LLC,1073,168,904
"GOJO Industries, Inc.",2615,161,898
Uriel Pharmacy Inc.,1295,6,519
Boehringer Ingelheim Pharmaceuticals Inc.,1462,382,776
Colgate Palmolive Company,1414,15,720
A-S Medication Solutions LLC,1847,85,898
Genuine First Aid LLC,1923,455,953
"H and P Industries, Inc. dba Triad Group",1100,425,895
Aurobindo Pharma Limited,1918,231,857
Rebel Distributors Corp,1821,128,511
SHISEIDO AMERICA INC.,1377,454,963
"Corp Brothers, Incorporated",1551,108,571
"Xttrium Laboratories, Inc.",1434,182,588
Zydus Pharmaceuticals (USA) Inc.,2029,129,655
Dr. Reddy's Laboratories Limited,2473,245,600
Dexcel Pharma Technologies Ltd.,2068,307,849
SAM'S WEST INC,2096,333,698
Neutrogena Corporation,1125,398,704
"Eon Labs, Inc.",2888,94,637
Cardinal Health,1121,186,898
State of Florida DOH Central Pharmacy,1713,164,883
"Mycone Dental Supply Co., Inc DBA Keystone Industries and Deepak Products Inc.",1931,453,695
REMEDYREPACK INC.,1065,131,780
RedPharm Drug Inc.,2043,161,739
SHISEIDO AMERICAS CORPORATION,2348,252,756
Aurobindo Pharma Limited,2769,356,921
Ecolab Inc.,1778,285,727
American Sales Company,2652,405,817
"Par Pharmaceutical, Inc.",2059,422,607
Filo America,2129,195,753
"Glenmark Generics Inc., USA",2440,487,845
"W.W. Grainger, Inc.",1974,257,785
Walgreen Company,1684,236,524
"ALK-Abello, Inc.",1073,330,941
"BioZone Laboratories, Inc.",1751,138,889
American Sales Company,2710,454,795
"Nelco Laboratories, Inc.",1020,367,744
H E B,1859,149,833
"Dispensing Solutions, Inc.",2911,146,627
"Hospira, Inc.",1033,478,886
L'Oreal USA Products Inc,1432,192,518
West-Ward Pharmaceutical Corp,2023,1,552
ELEMIS LIMITED,1500,202,589
Cardinal Health,2084,130,883
Ascend Laboratories LLC,2441,14,977
Proficient Rx LP,2826,75,928
Greenstone LLC,2761,119,911
"Natural Creations, Inc.",1619,471,824
"Geiss, Destin & Dunn, Inc",2039,189,838
"Physicians Total Care, Inc.",2929,205,806
HIMPRIT PHARMACHEM PVT LTD,2756,38,770
"Johnson & Johnson Consumer Products Company, Division of Johnson & Johnson Consumer Companies, Inc.",1336,394,575
Cardinal Health,1484,139,548
PURMINERALS,2965,442,868
Teva Pharmaceuticals USA Inc,1524,268,681
Dolgencorp LLC,1895,477,900
"Physicians Total Care, Inc.",1817,324,762
"SOMA Biotechnology Co., Ltd",2682,253,630
Midlothian Laboratories,1139,313,623
"Nibec Co., Ltd",2928,294,634
REMEDYREPACK INC.,2312,253,642
King Bio Inc.,2495,318,899
"Mutual Pharmaceutical Company, Inc.",2128,203,672
"Nelco Laboratories, Inc.",2057,5,710
P and L Development of New York Corporation (ReadyInCase),1347,320,975
Rebel Distributors Corp,1942,30,884
Legacy Pharmaceutical Packaging,1345,163,810
"L.N.K. International, Inc.",2952,127,700
Chain Drug Consortium LLC,2316,417,726
"Roxane Laboratories, Inc.",1817,190,767
Western Family Foods Inc,2559,245,635
"Global Pharmaceuticals, Division of Impax Laboratories Inc.",2889,7,742
Susanne Lang Fragrance Inc.,2778,90,897
"International Labs, Inc.",2804,487,645
The Dial Corporation,1411,106,792
Mary Kay Inc.,2643,452,940
Qualitest Pharmaceuticals,2586,418,756
"DOLGENCORP, LLC",1810,27,828
"Physicians Total Care, Inc.",2772,128,638
"Epic Pharma, LLC",2147,322,998
"PD-Rx Pharmaceuticals, Inc.",1433,337,660
"Acella Pharmaceuticals, LLC",1344,333,698
"Nelco Laboratories, Inc.",2301,207,761
"Fruit of the Earth, Inc.",1446,177,752
REMEDYREPACK INC.,1072,214,850
Proficient Rx LP,2657,434,768
Rebel Distributors Corp,1443,440,922
AMERICAN EAGLE STAR IMPORTS INC.,1277,370,634
"Exelan Pharmaceuticals, Inc.",2779,472,574
KJI Industrial Co Ltd,1842,400,927
Physicians Formula Inc,1972,462,527
Meijer Distribution Inc,1577,278,1000
Bayer HealthCare Pharmaceuticals Inc.,2775,94,565
American Health Packaging,2398,495,964
Clinical Solutions Wholesale,2260,32,650
"Nelco Laboratories, Inc.",2319,284,693
"Wyeth Pharmaceuticals Inc., a subsidiary of Pfizer Inc.",2500,233,932
King Bio Inc.,2598,39,589
Access Business Group LLC,2226,112,753
Colgate-Palmolive Company,1275,425,638
"Homeostasis Laboratories, Inc.",2780,419,629
Apotex Corp.,1024,76,626
"NATURE REPUBLIC CO., LTD.",1530,220,508
"Physicians Total Care, Inc.",2148,19,505
"Nelco Laboratories, Inc.",1540,352,720
Apotex Corp.,1708,450,856
Carilion Materials Management,2119,156,525
Rite Aid Corporation,2692,485,597
"Merz Pharmaceuticals, LLC",2453,289,860
B. Braun Medical Inc.,2707,6,616
ParaPRO LLC,2406,138,669
"Newton Laboratories, Inc.",1909,365,741
Roerig,2774,348,898
Baxter Healthcare Corporation,1208,269,753
"AMAROS CO., LTD.",2775,0,617
Unifirst First Aid Corporation,1466,36,710
"Nelco Laboratories, Inc.",1652,200,743
STAT RX USA LLC,1150,358,604
Lake Erie Medical DBA Quality Care Products LLC,2629,213,1000
Philosophy,1772,52,709
NeoStrata Company Inc.,2455,498,939
Rebel Distributors,2231,192,972
Legacy Pharmaceutical Packaging,2925,317,608
PurKlenz Formulations Inc.,2456,228,634
Bryant Ranch Prepack,2614,5,559
CVS Pharmacy,2154,236,740
"Nelco Laboratories, Inc.",1533,107,614
Major Pharmaceuticals,2427,39,714
"Shopko Stores Operating Co., LLC",2401,243,897
"Physicians Total Care, Inc.",1733,103,930
Kinray Inc.,2187,354,922
Rebel Distributors Corp.,2722,63,578
BCM Cosmetique SAS,2242,407,721
"Hospira, Inc.",2221,234,832
Cal Pharma,2844,447,585
"American Regent, Inc.",1302,340,843
"PAR Pharmaceutical Companies, Inc.",1940,210,604
Mylan Pharmaceuticals Inc.,2544,301,946
Cardinal Health,2856,110,500
"Donovan Industries, Inc",2842,34,765
Aaron Industries Inc.,1649,192,649
"Blenheim Pharmacal, Inc.",1155,459,908
Uriel Pharmacy Inc.,1499,449,655
"Allermed Laboratories, Inc.",2041,103,713
"Teva Parenteral Medicines, Inc.",1514,366,694
"Watson Pharma, Inc.",1288,236,987
"Physicians Total Care, Inc.",2791,479,835
DEPT HEALTH CENTRAL PHARMACY,2748,392,832
PuraVation Pharmaceuticals Inc,1784,395,779
Major Pharmaceuticals,1619,168,980
"NCS HealthCare of KY, Inc dba Vangard Labs",2482,77,686
"CVS PHARMACY, INC.",1913,299,603
Cardinal Health,1894,451,772
E. Fougera & Co. a division of Fougera Pharmaceuticals Inc.,2692,402,626
Greenstone Pharmaceutical H.K. Inc.,1513,363,848
Jubilant HollisterStier LLC,1193,341,772
"Nelco Laboratories, Inc.",1461,106,944
Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,1011,474,664
"Daiichi Sankyo, Inc.",1387,32,678
Medtech Products Inc.,2102,257,681
"Physicians Total Care, Inc.",2636,424,591
Aaxis Pacific,1498,476,883
"Ventura Corporation (San Juan, P.R)",2369,193,742
BrandStorm HBC,2508,395,582
"MSD Consumer Care, Inc.",2427,315,891
Merck Sharp & Dohme Corp.,1755,440,555
Kmart Corporation,2193,388,561
CHANEL PARFUMS BEAUTE,1755,201,700
State of Florida DOH Central Pharmacy,2170,47,818
Cardinal Health,1103,81,600
"Fresenius Kabi USA, LLC",2858,103,729
"PD-Rx Pharmaceuticals, Inc.",1360,493,716
PSS World Medical,1596,128,744
Empack Spraytech Inc,2694,380,691
"PD-Rx Pharmaceuticals, Inc.",2849,389,715
"Global Pharmaceuticals, Division of Impax Laboratories Inc.",1422,492,931
Health Mart,1937,77,589
Actavis Inc.,1685,213,609
Aurobindo Pharma Limited,1533,136,591
"ALK-Abello, Inc.",2486,25,636
"ALK-Abello, Inc.",2955,60,917
State of Florida DOH Central Pharmacy,1189,41,847
Clinical Solutions Wholesale,1409,256,859
Natural Health Supply,1124,310,933
Aidarex Pharmaceuticals LLC,2803,424,912
Haemonetics Corporation,1934,70,745
Parfums Christian Dior,1189,406,587
"Cosmetic Specialty Labs, Inc.",2027,318,938
"EMD Serono, Inc.",1760,270,789
Barr Laboratories Inc.,1962,255,537
Fresenius Medical Care North America,2791,179,674
Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,2578,301,597
Amerisource Bergen,2008,452,627
Mylan Institutional LLC,2483,130,669
Wal-Mart Stores Inc,2224,369,550
"Stephen L. LaFrance Pharmacy, Inc.",2594,426,912
Novartis Pharmaceuticals Corporation,2331,427,781
Mylan Pharmaceuticals Inc.,1558,420,680
REMEDYREPACK INC.,1456,389,977
"Nelco Laboratories, Inc.",1344,445,875
Uriel Pharmacy Inc.,2333,127,803
"Somaxon Pharmaceuticals, Inc.",2440,495,790
"Hospira, Inc.",2035,10,949
"Shopko Stores Operating Co., LLC",1740,209,983
"Teva Parenteral Medicines, Inc.",2259,261,838
"Eagle Distributors,Inc.",2225,178,537
Major Pharmaceuticals,1325,1,671
"Physicians Total Care, Inc.",2500,210,849
American Sales Company,1876,122,920
Wagner Welding Supply,1570,14,980
Natural Health Supply,1747,369,505
Sun Pharmaceutical Industries Limited,2665,205,575
Bracco Diagnostics Inc,1900,411,589
Heel Inc,2165,28,921
"Fresenius Kabi USA, LLC",2513,493,829
"Aphena Pharma Solutions - Tennessee, LLC",2447,389,672
Washington Homeopathic Products,1111,429,623
"Genentech, Inc.",1065,484,753
TOP CARE (Topco Associates LLC),1677,147,601
Siscom de Argentina S.A.,2903,227,507
REMEDYREPACK INC.,1483,458,706
McKesson Packaging Services a business unit of McKesson Corporation,1337,63,688
Stat Rx USA,2898,99,540
"Dr. Waltons, Incorporated",2848,337,761
"Pernix Therapeutics, LLC",2131,341,749
"Church & Dwight Co., Inc.",2309,469,645
Purdue Pharma LP,2878,457,757
"Global Pharmaceuticals, Division of Impax Laboratories, Inc.",2601,225,615
Pfizer Laboratories Div Pfizer Inc,2663,386,866
Unifirst First Aid Corporation,2740,182,940
"HANLIM PHARM. CO., LTD.",2861,461,980
"Promius Pharma, LLC",1940,481,512
"AAA Pharmaceutical, Inc.",1296,301,994
McKesson,1777,149,580
"Lampton Welding Supply Company, Inc",2052,252,968
JGL North America LLC,1996,189,719
"Samson Medical Technologies, LLC",2440,299,843
"WOONSOCKET PRESCRIPTION CENTER,INCORPORATED",2470,313,970
Kmart Corporation,1834,329,701
"The Man Can, LLC",1723,328,578
Uriel Pharmacy Inc.,1678,407,955
Major Pharmaceuticals,2501,74,745
"Air Systems of Illinois, Inc.",2927,418,902
"Nelco Laboratories, Inc.",1708,475,620
"RECORDATI RARE DISEASES, INC.",1596,114,789
DZA Brands LLC,1054,193,865
Walgreen Company,2930,72,651
State of Florida DOH Central Pharmacy,2463,362,532
Pfizer Laboratories Div Pfizer Inc,1543,414,713
Contract Pharmacy Services-PA,1254,168,693
Apotex Corp.,1136,440,748
"Alva-Amco Pharmacal Companies, Inc.",2987,205,947
Guna spa,1600,463,651
"Alva-Amco Pharmacal Companies, Inc.",1585,391,516
BCM Ltd,1243,51,522
"Aphena Pharma Solutions - Tennessee, LLC",2351,473,503
